os_name,os_version,ip_checksum,ip_df,ip_hdr_length,ip_id,ip_mf,ip_off,ip_protocol,ip_rf,ip_tos,ip_total_length,ip_ttl,ip_version,tcp_ack,tcp_checksum,tcp_flags,tcp_header_length,tcp_mss,tcp_off,tcp_options,tcp_seq,tcp_timestamp,tcp_timestamp_echo_reply,tcp_urp,tcp_window_scaling,tcp_window_size
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
Android,9,61169,1,5,9831,0,16384,6,0,0,60,50,4,0,47657,2,20,1400,10,"M1400,S,T,N,W8,",2305302028,21444715,0,0,8,65535
Windows,10,4998,1,5,64812,0,16384,6,0,0,52,112,4,0,26124,2,20,1440,8,"M1440,N,W8,N,N,S,",556192127,,,0,8,64240
Windows,10,4998,1,5,64812,0,16384,6,0,0,52,112,4,0,26124,2,20,1440,8,"M1440,N,W8,N,N,S,",556192127,,,0,8,64240
Android,9,26180,1,5,44820,0,16384,6,0,0,60,50,4,0,2503,2,20,1400,10,"M1400,S,T,N,W8,",3726350983,21443987,0,0,8,65535
Windows,10,5037,1,5,64773,0,16384,6,0,0,52,112,4,0,3011,2,20,1440,8,"M1440,N,W8,N,N,S,",2715527969,,,0,8,64240
Windows,10,4998,1,5,64812,0,16384,6,0,0,52,112,4,0,26124,2,20,1440,8,"M1440,N,W8,N,N,S,",556192127,,,0,8,64240
Mac OS,10.15.7,26410,1,5,0,0,16384,6,0,0,64,55,4,0,17747,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",1699810461,3379170664,0,0,6,65535
Mac OS,10.15.7,26410,1,5,0,0,16384,6,0,0,64,55,4,0,7909,2,20,1460,11,"M1460,N,W6,N,N,T,S,E,E,",1615516546,520232037,0,0,6,65535
Android,11,63257,1,5,56681,0,16384,6,0,24,60,49,4,0,46999,2,20,1400,10,"M1400,S,T,N,W8,",934837377,1883704292,0,0,8,65535
Windows,10,10216,1,5,23582,0,16384,6,0,0,52,119,4,0,23309,2,20,1412,8,"M1412,N,W8,N,N,S,",1586379033,,,0,8,8192
Windows,10,10216,1,5,23582,0,16384,6,0,0,52,119,4,0,23309,2,20,1412,8,"M1412,N,W8,N,N,S,",1586379033,,,0,8,8192
Windows,10,10216,1,5,23582,0,16384,6,0,0,52,119,4,0,23309,2,20,1412,8,"M1412,N,W8,N,N,S,",1586379033,,,0,8,8192
Android,10,25165,1,5,12536,0,16384,6,0,0,52,52,4,0,36100,2,20,1400,8,"M1400,S,N,N,N,W8,",1968585882,,,0,8,65535
Mac OS,10.15.7,12439,1,5,0,0,16384,6,0,0,64,50,4,0,27407,2,20,1452,11,"M1452,N,W6,N,N,T,S,E,E,",4061017871,873029409,0,0,6,65535
Android,10,30290,1,5,7403,0,16384,6,0,0,60,52,4,0,22857,2,20,1400,10,"M1400,S,T,N,W8,",3093173349,156305550,0,0,8,65535
iOS,15.5,44052,1,5,0,0,16384,6,0,0,64,54,4,0,32446,194,20,1460,11,"M1460,N,W5,N,N,T,S,E,E,",1679631663,501318878,0,0,5,65535
Windows,10,10216,1,5,23582,0,16384,6,0,0,52,119,4,0,23309,2,20,1412,8,"M1412,N,W8,N,N,S,",1586379033,,,0,8,8192
